,Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income,Rating
count,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
mean,55.651950495049505,5.5108910891089105,15.378796039603959,322.9547168316832,307.5759207920792,4.761904762000001,15.378796039603959,6.973366336633664
std,26.510798698433533,2.912394516823773,11.685650082105465,245.39865172421477,233.7130016421093,8.886184387609055e-16,11.685650082105465,1.7223688813332005
min,10.08,1.0,0.5085,10.6785,10.17,4.761904762,0.5085,4.0
25%,32.824999999999996,3.0,5.864625,123.15712500000001,117.29249999999999,4.761904762,5.864625,5.5
50%,55.230000000000004,5.0,12.088000000000001,253.848,241.76,4.761904762,12.088000000000001,7.0
75%,77.94500000000001,8.0,22.4295,471.0195,448.59000000000003,4.761904762,22.4295,8.5
max,99.96,10.0,49.65,1042.65,993.0,4.761904762,49.65,10.0
